"Sector","Year","Statistic Label","UNIT","VALUE"
"Other non-metallic mineral products (NACE 26)","2006","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","4759.84"
"Other non-metallic mineral products (NACE 26)","2007","Carbon Dioxide (CO2) Emissions","000 Tonnes","4782.34"
"Other non-metallic mineral products (NACE 26)","2007","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.19"
"Other non-metallic mineral products (NACE 26)","2007","Methane (CH4) Emissions","000 Tonnes","0.62"
"Other non-metallic mineral products (NACE 26)","2007","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","4854.85"
"Machinery and equipment n.e.c. (NACE 29)","1994","Carbon Dioxide (CO2) Emissions","000 Tonnes","165"
"Machinery and equipment n.e.c. (NACE 29)","1994","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"Machinery and equipment n.e.c. (NACE 29)","1994","Methane (CH4) Emissions","000 Tonnes","0"
"Machinery and equipment n.e.c. (NACE 29)","1994","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","170.4"
"Machinery and equipment n.e.c. (NACE 29)","1995","Carbon Dioxide (CO2) Emissions","000 Tonnes","179.6"
"Machinery and equipment n.e.c. (NACE 29)","1995","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"Machinery and equipment n.e.c. (NACE 29)","1995","Methane (CH4) Emissions","000 Tonnes","0"
"Machinery and equipment n.e.c. (NACE 29)","1995","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","185.3"
"Machinery and equipment n.e.c. (NACE 29)","1996","Carbon Dioxide (CO2) Emissions","000 Tonnes","179.7"
"Machinery and equipment n.e.c. (NACE 29)","1996","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"Machinery and equipment n.e.c. (NACE 29)","1996","Methane (CH4) Emissions","000 Tonnes","0"
"Machinery and equipment n.e.c. (NACE 29)","1996","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","185.3"
"Machinery and equipment n.e.c. (NACE 29)","1997","Carbon Dioxide (CO2) Emissions","000 Tonnes","839.4"
"Machinery and equipment n.e.c. (NACE 29)","1997","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.09"
"Machinery and equipment n.e.c. (NACE 29)","1997","Methane (CH4) Emissions","000 Tonnes","0.03"
"Machinery and equipment n.e.c. (NACE 29)","1997","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","868.5"
"Machinery and equipment n.e.c. (NACE 29)","1998","Carbon Dioxide (CO2) Emissions","000 Tonnes","795.69"
"Machinery and equipment n.e.c. (NACE 29)","1998","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.13"
"Machinery and equipment n.e.c. (NACE 29)","1998","Methane (CH4) Emissions","000 Tonnes","0.03"
"Machinery and equipment n.e.c. (NACE 29)","1998","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","835.9"
"Machinery and equipment n.e.c. (NACE 29)","1999","Carbon Dioxide (CO2) Emissions","000 Tonnes","814.78"
"Machinery and equipment n.e.c. (NACE 29)","1999","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.13"
"Machinery and equipment n.e.c. (NACE 29)","1999","Methane (CH4) Emissions","000 Tonnes","0.03"
"Machinery and equipment n.e.c. (NACE 29)","1999","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","855.81"
"Machinery and equipment n.e.c. (NACE 29)","2000","Carbon Dioxide (CO2) Emissions","000 Tonnes","831.3"
"Machinery and equipment n.e.c. (NACE 29)","2000","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.13"
"Machinery and equipment n.e.c. (NACE 29)","2000","Methane (CH4) Emissions","000 Tonnes","0.03"
"Machinery and equipment n.e.c. (NACE 29)","2000","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","872.3"
"Machinery and equipment n.e.c. (NACE 29)","2001","Carbon Dioxide (CO2) Emissions","000 Tonnes","1014.62"
"Machinery and equipment n.e.c. (NACE 29)","2001","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.17"
"Machinery and equipment n.e.c. (NACE 29)","2001","Methane (CH4) Emissions","000 Tonnes","0.04"
"Machinery and equipment n.e.c. (NACE 29)","2001","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","1067.77"
"Machinery and equipment n.e.c. (NACE 29)","2002","Carbon Dioxide (CO2) Emissions","000 Tonnes","1009.6"
"Machinery and equipment n.e.c. (NACE 29)","2002","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.15"
"Machinery and equipment n.e.c. (NACE 29)","2002","Methane (CH4) Emissions","000 Tonnes","0.03"
"Machinery and equipment n.e.c. (NACE 29)","2002","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","1055.62"
"Machinery and equipment n.e.c. (NACE 29)","2003","Carbon Dioxide (CO2) Emissions","000 Tonnes","864.47"
"Machinery and equipment n.e.c. (NACE 29)","2003","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.11"
"Machinery and equipment n.e.c. (NACE 29)","2003","Methane (CH4) Emissions","000 Tonnes","0.02"
"Machinery and equipment n.e.c. (NACE 29)","2003","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","898.07"
"Machinery and equipment n.e.c. (NACE 29)","2004","Carbon Dioxide (CO2) Emissions","000 Tonnes","803.93"
"Machinery and equipment n.e.c. (NACE 29)","2004","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.09"
"Machinery and equipment n.e.c. (NACE 29)","2004","Methane (CH4) Emissions","000 Tonnes","0.02"
"Machinery and equipment n.e.c. (NACE 29)","2004","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","832.78"
"Machinery and equipment n.e.c. (NACE 29)","2005","Carbon Dioxide (CO2) Emissions","000 Tonnes","852.97"
"Machinery and equipment n.e.c. (NACE 29)","2005","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.1"
"Machinery and equipment n.e.c. (NACE 29)","2005","Methane (CH4) Emissions","000 Tonnes","0.02"
"Machinery and equipment n.e.c. (NACE 29)","2005","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","884.94"
"Machinery and equipment n.e.c. (NACE 29)","2006","Carbon Dioxide (CO2) Emissions","000 Tonnes","945.61"
"Machinery and equipment n.e.c. (NACE 29)","2006","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.11"
"Machinery and equipment n.e.c. (NACE 29)","2006","Methane (CH4) Emissions","000 Tonnes","0.02"
"Machinery and equipment n.e.c. (NACE 29)","2006","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","979.35"
"Machinery and equipment n.e.c. (NACE 29)","2007","Carbon Dioxide (CO2) Emissions","000 Tonnes","844.02"
"Machinery and equipment n.e.c. (NACE 29)","2007","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.09"
"Machinery and equipment n.e.c. (NACE 29)","2007","Methane (CH4) Emissions","000 Tonnes","0.01"
"Machinery and equipment n.e.c. (NACE 29)","2007","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","871.19"
"Office machinery and computers (NACE 30)","1994","Carbon Dioxide (CO2) Emissions","000 Tonnes","222.1"
"Office machinery and computers (NACE 30)","1994","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"Office machinery and computers (NACE 30)","1994","Methane (CH4) Emissions","000 Tonnes","0"
"Office machinery and computers (NACE 30)","1994","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","230.4"
"Office machinery and computers (NACE 30)","1995","Carbon Dioxide (CO2) Emissions","000 Tonnes","243.1"
"Office machinery and computers (NACE 30)","1995","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"Office machinery and computers (NACE 30)","1995","Methane (CH4) Emissions","000 Tonnes","0"
"Office machinery and computers (NACE 30)","1995","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","252"
"Office machinery and computers (NACE 30)","1996","Carbon Dioxide (CO2) Emissions","000 Tonnes","131.6"
"Office machinery and computers (NACE 30)","1996","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"Office machinery and computers (NACE 30)","1996","Methane (CH4) Emissions","000 Tonnes","0"
"Office machinery and computers (NACE 30)","1996","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","135.9"
"Office machinery and computers (NACE 30)","1997","Carbon Dioxide (CO2) Emissions","000 Tonnes","57.7"
"Office machinery and computers (NACE 30)","1997","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"Office machinery and computers (NACE 30)","1997","Methane (CH4) Emissions","000 Tonnes","0"
"Office machinery and computers (NACE 30)","1997","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","59.2"
"Office machinery and computers (NACE 30)","1998","Carbon Dioxide (CO2) Emissions","000 Tonnes","62.29"
"Office machinery and computers (NACE 30)","1998","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"Office machinery and computers (NACE 30)","1998","Methane (CH4) Emissions","000 Tonnes",""
"Office machinery and computers (NACE 30)","1998","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","64.45"
"Office machinery and computers (NACE 30)","1999","Carbon Dioxide (CO2) Emissions","000 Tonnes","69.9"
"Office machinery and computers (NACE 30)","1999","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"Office machinery and computers (NACE 30)","1999","Methane (CH4) Emissions","000 Tonnes",""
"Office machinery and computers (NACE 30)","1999","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","72.31"
"Office machinery and computers (NACE 30)","2000","Carbon Dioxide (CO2) Emissions","000 Tonnes","73.47"
"Office machinery and computers (NACE 30)","2000","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"Office machinery and computers (NACE 30)","2000","Methane (CH4) Emissions","000 Tonnes",""
"Office machinery and computers (NACE 30)","2000","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","75.92"
"Office machinery and computers (NACE 30)","2001","Carbon Dioxide (CO2) Emissions","000 Tonnes","102.65"
"Office machinery and computers (NACE 30)","2001","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"Office machinery and computers (NACE 30)","2001","Methane (CH4) Emissions","000 Tonnes",""
"Office machinery and computers (NACE 30)","2001","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","106.43"
"Office machinery and computers (NACE 30)","2002","Carbon Dioxide (CO2) Emissions","000 Tonnes","92.35"
"Office machinery and computers (NACE 30)","2002","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"Office machinery and computers (NACE 30)","2002","Methane (CH4) Emissions","000 Tonnes",""
"Office machinery and computers (NACE 30)","2002","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","95.57"
"Office machinery and computers (NACE 30)","2003","Carbon Dioxide (CO2) Emissions","000 Tonnes","84.17"
"Office machinery and computers (NACE 30)","2003","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"Office machinery and computers (NACE 30)","2003","Methane (CH4) Emissions","000 Tonnes",""
"Office machinery and computers (NACE 30)","2003","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","86.8"
"Office machinery and computers (NACE 30)","2004","Carbon Dioxide (CO2) Emissions","000 Tonnes","62.25"
"Office machinery and computers (NACE 30)","2004","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"Office machinery and computers (NACE 30)","2004","Methane (CH4) Emissions","000 Tonnes",""
"Office machinery and computers (NACE 30)","2004","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","64.05"
"Office machinery and computers (NACE 30)","2005","Carbon Dioxide (CO2) Emissions","000 Tonnes","62.88"
"Office machinery and computers (NACE 30)","2005","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"Office machinery and computers (NACE 30)","2005","Methane (CH4) Emissions","000 Tonnes",""
"Office machinery and computers (NACE 30)","2005","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","64.72"
"Office machinery and computers (NACE 30)","2006","Carbon Dioxide (CO2) Emissions","000 Tonnes","56.05"
"Office machinery and computers (NACE 30)","2006","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"Office machinery and computers (NACE 30)","2006","Methane (CH4) Emissions","000 Tonnes",""
"Office machinery and computers (NACE 30)","2006","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","57.72"
"Office machinery and computers (NACE 30)","2007","Carbon Dioxide (CO2) Emissions","000 Tonnes","57.41"
"Office machinery and computers (NACE 30)","2007","Nitrous Oxide (N2O) Emissions","000 Tonnes",""
"Office machinery and computers (NACE 30)","2007","Methane (CH4) Emissions","000 Tonnes",""
"Office machinery and computers (NACE 30)","2007","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","58.92"
"All construction (NACE 45)","1994","Carbon Dioxide (CO2) Emissions","000 Tonnes","25.1"
"All construction (NACE 45)","1994","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"All construction (NACE 45)","1994","Methane (CH4) Emissions","000 Tonnes",""
"All construction (NACE 45)","1994","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","26.1"
"All construction (NACE 45)","1995","Carbon Dioxide (CO2) Emissions","000 Tonnes","33.5"
"All construction (NACE 45)","1995","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"All construction (NACE 45)","1995","Methane (CH4) Emissions","000 Tonnes",""
"All construction (NACE 45)","1995","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","34.8"
"All construction (NACE 45)","1996","Carbon Dioxide (CO2) Emissions","000 Tonnes","36.9"
"All construction (NACE 45)","1996","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"All construction (NACE 45)","1996","Methane (CH4) Emissions","000 Tonnes",""
"All construction (NACE 45)","1996","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","38.3"
"All construction (NACE 45)","1997","Carbon Dioxide (CO2) Emissions","000 Tonnes","42.5"
"All construction (NACE 45)","1997","Nitrous Oxide (N2O) Emissions","000 Tonnes","0"
"All construction (NACE 45)","1997","Methane (CH4) Emissions","000 Tonnes","0"
"All construction (NACE 45)","1997","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","44.1"
"All construction (NACE 45)","1998","Carbon Dioxide (CO2) Emissions","000 Tonnes","39.88"
"All construction (NACE 45)","1998","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"All construction (NACE 45)","1998","Methane (CH4) Emissions","000 Tonnes",""
"All construction (NACE 45)","1998","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","41.71"
"All construction (NACE 45)","1999","Carbon Dioxide (CO2) Emissions","000 Tonnes","40.27"
"All construction (NACE 45)","1999","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"All construction (NACE 45)","1999","Methane (CH4) Emissions","000 Tonnes",""
"All construction (NACE 45)","1999","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","42.11"
"All construction (NACE 45)","2000","Carbon Dioxide (CO2) Emissions","000 Tonnes","41.11"
"All construction (NACE 45)","2000","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"All construction (NACE 45)","2000","Methane (CH4) Emissions","000 Tonnes",""
"All construction (NACE 45)","2000","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","42.81"
"All construction (NACE 45)","2001","Carbon Dioxide (CO2) Emissions","000 Tonnes","43.43"
"All construction (NACE 45)","2001","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"All construction (NACE 45)","2001","Methane (CH4) Emissions","000 Tonnes",""
"All construction (NACE 45)","2001","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","45.25"
"All construction (NACE 45)","2002","Carbon Dioxide (CO2) Emissions","000 Tonnes","54.46"
"All construction (NACE 45)","2002","Nitrous Oxide (N2O) Emissions","000 Tonnes","0.01"
"All construction (NACE 45)","2002","Methane (CH4) Emissions","000 Tonnes",""
"All construction (NACE 45)","2002","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","56.6"
"All construction (NACE 45)","2003","Carbon Dioxide (CO2) Emissions","000 Tonnes","43.31"
"All construction (NACE 45)","2003","Nitrous Oxide (N2O) Emissions","000 Tonnes",""
"All construction (NACE 45)","2003","Methane (CH4) Emissions","000 Tonnes",""
"All construction (NACE 45)","2003","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","44.82"
"All construction (NACE 45)","2004","Carbon Dioxide (CO2) Emissions","000 Tonnes","42.88"
"All construction (NACE 45)","2004","Nitrous Oxide (N2O) Emissions","000 Tonnes",""
"All construction (NACE 45)","2004","Methane (CH4) Emissions","000 Tonnes",""
"All construction (NACE 45)","2004","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","44.4"
"All construction (NACE 45)","2005","Carbon Dioxide (CO2) Emissions","000 Tonnes","40.92"
"All construction (NACE 45)","2005","Nitrous Oxide (N2O) Emissions","000 Tonnes",""
"All construction (NACE 45)","2005","Methane (CH4) Emissions","000 Tonnes",""
"All construction (NACE 45)","2005","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","42.43"
"All construction (NACE 45)","2006","Carbon Dioxide (CO2) Emissions","000 Tonnes","37.29"
"All construction (NACE 45)","2006","Nitrous Oxide (N2O) Emissions","000 Tonnes",""
"All construction (NACE 45)","2006","Methane (CH4) Emissions","000 Tonnes",""
"All construction (NACE 45)","2006","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","38.63"
"All construction (NACE 45)","2007","Carbon Dioxide (CO2) Emissions","000 Tonnes","36.21"
"All construction (NACE 45)","2007","Nitrous Oxide (N2O) Emissions","000 Tonnes",""
"All construction (NACE 45)","2007","Methane (CH4) Emissions","000 Tonnes",""
"All construction (NACE 45)","2007","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","37.36"
"Agriculture, forestry and fishing (NACE A - B)","1994","Carbon Dioxide (CO2) Emissions","000 Tonnes","1306.3"
"Agriculture, forestry and fishing (NACE A - B)","1994","Nitrous Oxide (N2O) Emissions","000 Tonnes","26.5"
"Agriculture, forestry and fishing (NACE A - B)","1994","Methane (CH4) Emissions","000 Tonnes","562.6"
"Agriculture, forestry and fishing (NACE A - B)","1994","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","21341.8"
"Agriculture, forestry and fishing (NACE A - B)","1995","Carbon Dioxide (CO2) Emissions","000 Tonnes","1333.8"
"Agriculture, forestry and fishing (NACE A - B)","1995","Nitrous Oxide (N2O) Emissions","000 Tonnes","27.1"
"Agriculture, forestry and fishing (NACE A - B)","1995","Methane (CH4) Emissions","000 Tonnes","563.6"
"Agriculture, forestry and fishing (NACE A - B)","1995","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","21585.8"
"Agriculture, forestry and fishing (NACE A - B)","1996","Carbon Dioxide (CO2) Emissions","000 Tonnes","1261.6"
"Agriculture, forestry and fishing (NACE A - B)","1996","Nitrous Oxide (N2O) Emissions","000 Tonnes","27.2"
"Agriculture, forestry and fishing (NACE A - B)","1996","Methane (CH4) Emissions","000 Tonnes","579.9"
"Agriculture, forestry and fishing (NACE A - B)","1996","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","21883.2"
"Agriculture, forestry and fishing (NACE A - B)","1997","Carbon Dioxide (CO2) Emissions","000 Tonnes","1295.4"
"Agriculture, forestry and fishing (NACE A - B)","1997","Nitrous Oxide (N2O) Emissions","000 Tonnes","25.67"
"Agriculture, forestry and fishing (NACE A - B)","1997","Methane (CH4) Emissions","000 Tonnes","586.52"
"Agriculture, forestry and fishing (NACE A - B)","1997","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","21570.4"
"Agriculture, forestry and fishing (NACE A - B)","1998","Carbon Dioxide (CO2) Emissions","000 Tonnes","950.1"
"Agriculture, forestry and fishing (NACE A - B)","1998","Nitrous Oxide (N2O) Emissions","000 Tonnes","29.34"
"Agriculture, forestry and fishing (NACE A - B)","1998","Methane (CH4) Emissions","000 Tonnes","607.68"
"Agriculture, forestry and fishing (NACE A - B)","1998","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","23310.79"
"Agriculture, forestry and fishing (NACE A - B)","1999","Carbon Dioxide (CO2) Emissions","000 Tonnes","941.84"
"Agriculture, forestry and fishing (NACE A - B)","1999","Nitrous Oxide (N2O) Emissions","000 Tonnes","29.31"
"Agriculture, forestry and fishing (NACE A - B)","1999","Methane (CH4) Emissions","000 Tonnes","591.16"
"Agriculture, forestry and fishing (NACE A - B)","1999","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","23032.81"
"Agriculture, forestry and fishing (NACE A - B)","2000","Carbon Dioxide (CO2) Emissions","000 Tonnes","1136.87"
"Agriculture, forestry and fishing (NACE A - B)","2000","Nitrous Oxide (N2O) Emissions","000 Tonnes","27.73"
"Agriculture, forestry and fishing (NACE A - B)","2000","Methane (CH4) Emissions","000 Tonnes","562.63"
"Agriculture, forestry and fishing (NACE A - B)","2000","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","22021.35"
"Agriculture, forestry and fishing (NACE A - B)","2001","Carbon Dioxide (CO2) Emissions","000 Tonnes","1022.71"
"Agriculture, forestry and fishing (NACE A - B)","2001","Nitrous Oxide (N2O) Emissions","000 Tonnes","25.94"
"Agriculture, forestry and fishing (NACE A - B)","2001","Methane (CH4) Emissions","000 Tonnes","558.1"
"Agriculture, forestry and fishing (NACE A - B)","2001","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","21408.11"
"Agriculture, forestry and fishing (NACE A - B)","2002","Carbon Dioxide (CO2) Emissions","000 Tonnes","736.47"
"Agriculture, forestry and fishing (NACE A - B)","2002","Nitrous Oxide (N2O) Emissions","000 Tonnes","24.81"
"Agriculture, forestry and fishing (NACE A - B)","2002","Methane (CH4) Emissions","000 Tonnes","554.8"
"Agriculture, forestry and fishing (NACE A - B)","2002","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","20815.37"
"Agriculture, forestry and fishing (NACE A - B)","2003","Carbon Dioxide (CO2) Emissions","000 Tonnes","496.98"
"Agriculture, forestry and fishing (NACE A - B)","2003","Nitrous Oxide (N2O) Emissions","000 Tonnes","24.64"
"Agriculture, forestry and fishing (NACE A - B)","2003","Methane (CH4) Emissions","000 Tonnes","549.33"
"Agriculture, forestry and fishing (NACE A - B)","2003","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","20730"
"Agriculture, forestry and fishing (NACE A - B)","2004","Carbon Dioxide (CO2) Emissions","000 Tonnes","729.95"
"Agriculture, forestry and fishing (NACE A - B)","2004","Nitrous Oxide (N2O) Emissions","000 Tonnes","24.03"
"Agriculture, forestry and fishing (NACE A - B)","2004","Methane (CH4) Emissions","000 Tonnes","547.86"
"Agriculture, forestry and fishing (NACE A - B)","2004","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","20351.42"
"Agriculture, forestry and fishing (NACE A - B)","2005","Carbon Dioxide (CO2) Emissions","000 Tonnes","607.14"
"Agriculture, forestry and fishing (NACE A - B)","2005","Nitrous Oxide (N2O) Emissions","000 Tonnes","23.68"
"Agriculture, forestry and fishing (NACE A - B)","2005","Methane (CH4) Emissions","000 Tonnes","544.65"
"Agriculture, forestry and fishing (NACE A - B)","2005","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","20197.35"
"Agriculture, forestry and fishing (NACE A - B)","2006","Carbon Dioxide (CO2) Emissions","000 Tonnes","426.35"
"Agriculture, forestry and fishing (NACE A - B)","2006","Nitrous Oxide (N2O) Emissions","000 Tonnes","23.11"
"Agriculture, forestry and fishing (NACE A - B)","2006","Methane (CH4) Emissions","000 Tonnes","542.32"
"Agriculture, forestry and fishing (NACE A - B)","2006","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","19936.07"
"Agriculture, forestry and fishing (NACE A - B)","2007","Carbon Dioxide (CO2) Emissions","000 Tonnes","-93.96"
"Agriculture, forestry and fishing (NACE A - B)","2007","Nitrous Oxide (N2O) Emissions","000 Tonnes","22.08"
"Agriculture, forestry and fishing (NACE A - B)","2007","Methane (CH4) Emissions","000 Tonnes","524.4"
"Agriculture, forestry and fishing (NACE A - B)","2007","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","19282.07"
"Agriculture, industry and services (NACE 1 - 93)","1994","Carbon Dioxide (CO2) Emissions","000 Tonnes","34079.6"
"Agriculture, industry and services (NACE 1 - 93)","1994","Nitrous Oxide (N2O) Emissions","000 Tonnes","32.1"
"Agriculture, industry and services (NACE 1 - 93)","1994","Methane (CH4) Emissions","000 Tonnes","646.9"
"Agriculture, industry and services (NACE 1 - 93)","1994","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","57628.3"
"Agriculture, industry and services (NACE 1 - 93)","1995","Carbon Dioxide (CO2) Emissions","000 Tonnes","34901.7"
"Agriculture, industry and services (NACE 1 - 93)","1995","Nitrous Oxide (N2O) Emissions","000 Tonnes","32.8"
"Agriculture, industry and services (NACE 1 - 93)","1995","Methane (CH4) Emissions","000 Tonnes","650.4"
"Agriculture, industry and services (NACE 1 - 93)","1995","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","58722.1"
"Agriculture, industry and services (NACE 1 - 93)","1996","Carbon Dioxide (CO2) Emissions","000 Tonnes","36287.6"
"Agriculture, industry and services (NACE 1 - 93)","1996","Nitrous Oxide (N2O) Emissions","000 Tonnes","33.1"
"Agriculture, industry and services (NACE 1 - 93)","1996","Methane (CH4) Emissions","000 Tonnes","669.6"
"Agriculture, industry and services (NACE 1 - 93)","1996","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","60596.4"
"Agriculture, industry and services (NACE 1 - 93)","1997","Carbon Dioxide (CO2) Emissions","000 Tonnes","38764.5"
"Agriculture, industry and services (NACE 1 - 93)","1997","Nitrous Oxide (N2O) Emissions","000 Tonnes","31.62"
"Agriculture, industry and services (NACE 1 - 93)","1997","Methane (CH4) Emissions","000 Tonnes","671.56"
"Agriculture, industry and services (NACE 1 - 93)","1997","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","62669.5"
"Agriculture, industry and services (NACE 1 - 93)","1998","Carbon Dioxide (CO2) Emissions","000 Tonnes","29750.05"
"Agriculture, industry and services (NACE 1 - 93)","1998","Nitrous Oxide (N2O) Emissions","000 Tonnes","32.68"
"Agriculture, industry and services (NACE 1 - 93)","1998","Methane (CH4) Emissions","000 Tonnes","680.79"
"Agriculture, industry and services (NACE 1 - 93)","1998","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","54679.23"
"Agriculture, industry and services (NACE 1 - 93)","1999","Carbon Dioxide (CO2) Emissions","000 Tonnes","31301.66"
"Agriculture, industry and services (NACE 1 - 93)","1999","Nitrous Oxide (N2O) Emissions","000 Tonnes","32.81"
"Agriculture, industry and services (NACE 1 - 93)","1999","Methane (CH4) Emissions","000 Tonnes","665.97"
"Agriculture, industry and services (NACE 1 - 93)","1999","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","56042.09"
"Agriculture, industry and services (NACE 1 - 93)","2000","Carbon Dioxide (CO2) Emissions","000 Tonnes","33737.23"
"Agriculture, industry and services (NACE 1 - 93)","2000","Nitrous Oxide (N2O) Emissions","000 Tonnes","31.29"
"Agriculture, industry and services (NACE 1 - 93)","2000","Methane (CH4) Emissions","000 Tonnes","641.93"
"Agriculture, industry and services (NACE 1 - 93)","2000","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","57391.65"
"Agriculture, industry and services (NACE 1 - 93)","2001","Carbon Dioxide (CO2) Emissions","000 Tonnes","35508.66"
"Agriculture, industry and services (NACE 1 - 93)","2001","Nitrous Oxide (N2O) Emissions","000 Tonnes","29.58"
"Agriculture, industry and services (NACE 1 - 93)","2001","Methane (CH4) Emissions","000 Tonnes","630.04"
"Agriculture, industry and services (NACE 1 - 93)","2001","All Greenhouse Gas Emissions","000 Tonnes CO2 equivalent","58527.96"
